# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
2.248443435000000139e-03 1.005119822670920011e-15 -8.032780870965073600e-08 -1.757692100126229991e-07 -6.220301823807551176e-07 -8.006141474816820959e-07 -1.036364811354623345e-06 -1.355246800048746853e-06 -1.807835214974925734e-06
2.278422680999999880e-03 1.025454256431670082e-15 -8.231217218907150956e-08 -1.804990608196696932e-07 -6.396704491456518125e-07 -8.241743774920795521e-07 -1.067640791609936574e-06 -1.396506735774300628e-06 -1.862380500460530058e-06
2.308401927000000055e-03 1.046180884015060035e-15 -8.433493444587657437e-08 -1.853383119690782766e-07 -6.578772924523142000e-07 -8.484654433710141025e-07 -1.099784197507819965e-06 -1.438758039612874323e-06 -1.917927026211322313e-06
2.338381171999999800e-03 1.067306863776939950e-15 -8.640095624930591673e-08 -1.902953433824810339e-07 -6.766719116275479508e-07 -8.735001575940469901e-07 -1.132793965456623396e-06 -1.481981140815538931e-06 -1.974443670317619054e-06
2.368360417999999974e-03 1.088839478630460016e-15 -8.851538764514698180e-08 -1.953788087987108661e-07 -6.960729346435491247e-07 -8.992877465403365353e-07 -1.166665808605154898e-06 -1.526154917500755436e-06 -2.031904145099497232e-06
2.398339664000000149e-03 1.110786133751149919e-15 -9.068361338203052602e-08 -2.005975417193239203e-07 -7.160961970490207434e-07 -9.258338251089129565e-07 -1.201392528250060483e-06 -1.571257526485853415e-06 -2.090288046922964969e-06
2.428318909999999890e-03 1.133154361342320083e-15 -9.291118026570621034e-08 -2.059604632561209634e-07 -7.367546661957484288e-07 -9.531405806794254127e-07 -1.236964578383894618e-06 -1.617267511608459288e-06 -2.149582109369647649e-06
2.458298156000000064e-03 1.155951821925249992e-15 -9.520372023407202291e-08 -2.114764898052085060e-07 -7.580584274803693893e-07 -9.812070375530176813e-07 -1.273370694179958876e-06 -1.664164920421360881e-06 -2.209781310567395786e-06
2.488277400999999809e-03 1.179186305573029954e-15 -9.756687527941333840e-08 -2.171544297384024884e-07 -7.800146432131139285e-07 -1.010029265069157732e-06 -1.310598381429819193e-06 -1.711932127699478369e-06 -2.270889418306910193e-06
2.518256646999999983e-03 1.202865737070029922e-15 -1.000062244560013461e-07 -2.230028651768186457e-07 -8.026274644630284895e-07 -1.039600493601025099e-06 -1.348634203621365344e-06 -1.760554251570205097e-06 -2.332918804289353400e-06
2.548235893000000158e-03 1.226998173335800055e-15 -1.025272135409859746e-07 -2.290300296619277728e-07 -8.258979553351271004e-07 -1.069911221602813720e-06 -1.387463977983119098e-06 -1.810019305340355491e-06 -2.395889742214742399e-06
2.578215138999999899e-03 1.251591808613130030e-15 -1.051350976611202558e-07 -2.352437111467305340e-07 -8.498241519798733812e-07 -1.100949489760850913e-06 -1.427073131640007410e-06 -1.860318446244789980e-06 -2.459829744545347388e-06
2.608194385000000073e-03 1.276654975832830079e-15 -1.078349051123563118e-07 -2.416511952326756530e-07 -8.744013032194897515e-07 -1.132701395699325280e-06 -1.467447338755475151e-06 -1.911446529100793257e-06 -2.524773312761923202e-06
2.638173629999999818e-03 1.302196147915999923e-15 -1.106314231596237616e-07 -2.482592442510557859e-07 -8.996222582684154137e-07 -1.165151800001880988e-06 -1.508573381337636171e-06 -1.963402920876926563e-06 -2.590762102336855045e-06
2.668152875999999993e-03 1.328223943390409979e-15 -1.135291924547717168e-07 -2.550740855527237948e-07 -9.254779006090759335e-07 -1.198285068637482152e-06 -1.550440012502716909e-06 -2.016192279708166884e-06 -2.657845094395590735e-06
2.698132122000000167e-03 1.354747123502409990e-15 -1.165324848513157010e-07 -2.621013727043048765e-07 -9.519575155561840622e-07 -1.232085676241182628e-06 -1.593038562392613272e-06 -2.069824928377126462e-06 -2.726078218056910884e-06
2.728111367999999908e-03 1.381774597862749925e-15 -1.196452478712427169e-07 -2.693461057646812466e-07 -9.790490725484398481e-07 -1.266538629045089378e-06 -1.636363215285120593e-06 -2.124316710575503390e-06 -2.795523213923470037e-06
2.758090614000000083e-03 1.409315425888300005e-15 -1.228710140689065141e-07 -2.768125149664255921e-07 -1.006739446152264525e-06 -1.301629745872086240e-06 -1.680411024629107469e-06 -2.179688442467057214e-06 -2.866245890343835237e-06
2.788069858999999828e-03 1.437378818174449957e-15 -1.262127980059632461e-07 -2.845039399334224015e-07 -1.035014654450126910e-06 -1.337345922761958888e-06 -1.725181872008213581e-06 -2.235965289369172151e-06 -2.938314269329378376e-06
2.818049105000000002e-03 1.465974142606440094e-15 -1.296730171968955958e-07 -2.924227453287692993e-07 -1.063860188488928056e-06 -1.373675496796061598e-06 -1.770678562456761665e-06 -2.293176377685165465e-06 -3.011797103067170860e-06
